,Location,Name,Phone 1,Address 1,City,State,ZIP Code,Software,Zone,OS Version
243,CNT772,SP Plus Corporation,,37 blue slip,Brooklyn,New York,11222,Ultra,Brooklyn,Windows 10
244,CNT801,Observer Highway,201-798-4356,1 washington street,Hoboken,New Jersey,07030,Ultra,New Jersey,Windows 10
245,CNT809,Courthouse Garage,201-420-0034,600 newark avenue,Jersey City,New Jersey,07306,Ultra,New Jersey,Windows 7
246,CNT880,SP Plus Corporation,,131 amsterdam ave,New York,New York,10023,Ultra,West of Central Park,Windows 10
247,CPA130,Kinney System,856-338-0657,5th and market,Camden,New Jersey,08102,Ultra,Philly and Vicinity,Windows 10
248,CPS002,Bronx CarPark Systems Inc.,718-220-7726,2425 sedgwick avenue,Bronx,New York,10468,Plus,Bronx,
249,CPS016,Jenuwen Parking Corp.,718-284-8934,580-590 flatbush avenue,Brooklyn,New York,11225,Plus,Brooklyn,
250,CPS022,Cody Car Park Inc.,718-965-3644,555 11th street,Brooklyn,New York,11215,Plus,Brooklyn,
251,CPS024,CENTURY CAR PARK LLC,718-421-5446,3310-3510 avenue h,Brooklyn,New York,11210,B&W,Brooklyn,
252,CPS026,Plaza Car Park LLC,718-783-8601,2-10 plaza street,Brooklyn,New York,11238,Plus,Brooklyn,
253,CPS034,Zoom Car Park Inc.,718-365-6593,3130 grand concourse,Bronx,New York,10458,Plus,Bronx,
254,CPS036,Impact Parking,212-255-0100,333 west 26th street,New York,New York,10001,Ultra,Midtown West,
255,CPS048,101 Car Park LLC,212-242-7181,101 west 23rd street,New York,New York,10011,Ultra,Midtown West,
256,CPS054,Slope Car Park Inc.,718-788-8638,429-441 12th street,Brooklyn,New York,11215,Plus,Brooklyn,
257,CPS057,La Mirage Car Park Inc.,718-658-1645,178-10 wexford terrace,Queens,New York,11432,Plus,Queens,
258,CPS058,Wilshire Car Park Inc.,718-739-2974,183-03 hillside avenue,Queens,New York,11432,Plus,Queens,
259,CTY014,338 East 59th Street Garage LLC,212-755-1775,338-342 east 59th street,New York,New York,10022,Ultra,Midtown East,
260,CTY015,355 East 71st Street Garage LLC,212-879-9451,1325 first avenue,New York,New York,10021,Ultra,Midtown East,
261,CTY016,Brooklyn Bridge Garage LLC,718-488-0099,360 furman street,Brooklyn,New York,11201,Ultra,Brooklyn,
262,EEP007,East End Parking,212-534-8090,1480 sheridan expressway,Bronx,New York,10459,Plus,Bronx,
263,EPA001,Easy Parking,718-886-2878,136-19 franklin avenue,Flushing,New York,11355,Ultra,Queens,
264,EXC002,8936 Parking LLC,347-997-3401,89-36 sutphin blvd.,Jamaica,New York,11435,Ultra,Queens,
265,EXC004,87-10 Northern Blvd Parking LLC,718-424-6555,33-06 88th avenue,Jackson Heights,New York,11372,Ultra,Queens,
266,EXC006,456 Parking LLC,,456 grand street,Brooklyn,New York,11211,Ultra,Brooklyn,
267,EXC007,Xtell Parking LLC,,178-02 hillside avenue,Jamaica,New York,11432,Ultra,Queens,
268,FBR002,Gemini Garage,212-689-8303,202 east 40th street,New York,New York,10016,Ultra,Midtown East,
269,GGC001,Garsch Garage Corp,212-724-6927,175 west 87th street,New York,New York,10024,Ultra,West of Central Park,
270,GLE000,Main Office,,1385 york avenue,New York,New York,10021,,Not a garage,
271,GLE001,First Avenue Garage - Bamford,212-355-8030,333 east 56th street,New York,New York,10022,Ultra,Midtown East,
272,GLE002,10 Liberty Garage,212-509-5278,10 liberty street,New York,New York,10005,Ultra,Lower Manhattan,
273,GLE003,Barclay St Realty,212-227-9011,10 barclay street,New York,New York,10007,Ultra,Lower Manhattan,
274,GLE004,West 38th Street LLC,212-564-4987,320 west 38th street,New York,New York,10018,Ultra,Midtown West,
275,GLE038,East 39th Garage LLC - Paramount,212-599-8610,221 east 38th street,New York,New York,10016,Ultra,Midtown East,
276,GLE039,Crystal Green,212-967-7249,330 west 39th street,New York,New York,10018,Ultra,Midtown West,
277,GLE046,E 46th Garage Corp. - Belmont -,212-599-9495,320 east 46th street,New York,New York,10017,Ultra,Midtown East,
278,GLE056,E. 56th Garage Corp. - Bristol,212-991-0665,300 east 56th street,New York,New York,10022,Ultra,Midtown East,
279,GLE060,Columbus 60th,212-245-9594,45 west 60th street,New York,New York,10023,Ultra,West of Central Park,
280,GLE064,West 64 Street LLC,212-769-0546,1930 broadway,New York,New York,10023,Ultra,West of Central Park,
281,GLE072,Somerset Garage,212-650-0911,1365 york avenue,New York,New York,10021,Ultra,East of Central Park,
282,GLE073,East 73rd Garage Crop,212-650-1299,1385 york avenue,New York,New York,10011,Ultra,East of Central Park,
283,GLE075,E 75th Garage Corp. - Fairmont -,212-650-1416,300 east 75th street,New York,New York,10021,Ultra,East of Central Park,
284,GLE077,Pavilion E 77th Garage Corp.,212-650-1433,500 east 77th street,New York,New York,10162,Ultra,East of Central Park,
285,GLE079,Lucerne - E 79th Garage Corp.,212-650-1143,350 east 79tth street,New York,New York,10021,Ultra,East of Central Park,
286,GLE080,Caldwell,212-650-0854,1514-1520 york avenue,New York,New York,10028,Ultra,East of Central Park,
287,GLE081,East 81st Realty,212-650-9156,145 east 81st street,New York,New York,10028,Ultra,East of Central Park,
288,GLE085,East 85th LLC - Cambridge,212-650-9178,500 east 85th street,New York,New York,10128,Ultra,East of Central Park,
289,GLE088,E 88th Garage Corp. - Andover -,212-534-9465,1675 york avenue,New York,New York,10128,Ultra,East of Central Park,
290,GLE091,E 91st Garage Corp. - Barclay -,212-860-9888,1749 york avenue,New York,New York,10128,Ultra,East of Central Park,
291,GLE092,92nd Garage LLC - Brittany -,212-860-9627,1775 york avenue,New York,New York,10128,Ultra,East of Central Park,
292,GLE102,East 102nd Realty Hampton Court,212-369-0764,333 east 102nd street,New York,New York,10029,Ultra,East of Central Park,
293,GLE246,Briar Hill,718-548-9428,600-630 west 246th street,Bronx,New York,10471,Ultra,Bronx,
294,GMC000,Main Office,212-888-7400,training machine,New York,New York,,,Not a garage,
295,GMC001,Tower East Garage,212-249-1090,191 east 71st street,New York,New York,10021,Ultra,East of Central Park,
296,GMC003,ParkNLex,212-628-5770,115 east 75th street,New York,New York,10021,Ultra,East of Central Park,
297,GMC005,Duford Studio Garage,212-439-9022,127 east 83rd street,New York,New York,10028,Ultra,East of Central Park,
298,GMC006,225 W. 49 Development LLC,212-262-9779,225 west 49th street,New York,New York,10019,Ultra,Midtown West,
299,GMC009,919 Third Ave,212-753-2972,919 3rd avenue,New York,New York,10022,Ultra,Midtown East,
300,GMC016,East 71st Garage,212-879-1801,135 east 71st street,New York,New York,10021,Ultra,East of Central Park,
301,GMC017,Minetta Lane Owners LLC.,212-777-3530,122-128 west 3rd street,New York,New York,10012,Ultra,Lower Manhattan,
302,GMC018,315 E 65th,212-570-1732,322 east 66th street,New York,New York,10021,Ultra,East of Central Park,
303,GMC020,Mutual Parking,212-888-0637,340 east 64th street,New York,New York,10065,Ultra,East of Central Park,
304,GMC021,Carlton,212-688-7666,443 east 49th street,New York,New York,10017,Ultra,Midtown East,
305,GMC022,118 East 86th St,212-831-2700,118 east 86th street,New York,New York,10028,Ultra,East of Central Park,
306,GMC024,Charles Parking LLC,212-684-9704,200 east 27th street,New York,New York,10016,Ultra,Midtown East,
307,GMC025,200 C.P.S. Garage Co,212-265-1078,200 central park south,New York,New York,10019,Ultra,Midtown West,
308,GMC026,Mutual Parking,212-737-2568,1 gracie terrace,New York,New York,10028,Ultra,East of Central Park,
309,GMC027,388 Garage LLC Plus,718-855-1061,388 bridge street,Brooklyn,New York,11201,Ultra,Brooklyn,
310,GMC028,231 East 94th St Parking,212-722-4600,231-243 east 94th street,New York,New York,10128,Ultra,East of Central Park,
311,GMC029,550 West 45th St. Garage LLC,212-749-2548,550 west 45th street,New York,New York,10036,Ultra,Midtown West,
312,GMC031,Laureate Garage,212-750-2056,2148 broadway,New York,New York,10023,Ultra,West of Central Park,
313,GMC033,Washington Sq,212-533-8312,2 5th avenue,New York,New York,10011,Ultra,Lower Manhattan,
314,GMC035,60 Sutton Pl Parking,212-752-7504,60 sutton place,New York,New York,10022,Ultra,Midtown East,
315,GMC036,7 West 21st Street,212-243-6540,7 west 21st street,New York,New York,10010,Ultra,Lower Manhattan,
316,GMC037,111 East 82 Partners LLC.,212-288-9645,111 east 82 street,New York,New York,10028,Ultra,East of Central Park,
317,GMC040,60 Sutton Pl South,212-752-7529,60 sutton place,New York,New York,10022,Ultra,Midtown East,
318,GMC041,124 East 63rd Street Realty CO.,212-838-2720,124 east 63rd street,New York,New York,10021,Ultra,East of Central Park,
319,GMC042,Martin Garage LLC,646-864-2919,301 east 48th street,New York,New York,10017,Ultra,Midtown East,
320,GMC043,Almar Garage Inc,212-744-4750,700 park avenue,New York,New York,10021,Ultra,Midtown East,
321,GMC044,Stellmar Garage,212-879-8798,27 and 30 east 65th street,New York,New York,10021,Ultra,East of Central Park,
322,GMC045,300 East 34th Garage,212-481-6016,300 east 34th street,New York,New York,10016,Ultra,Midtown East,
323,GMC047,Wellesley,212-249-5514,203 east 71st street,New York,New York,10021,Ultra,East of Central Park,
324,GMC049,10 West 21st Street,212-529-9614,4 west 21st street,New York,New York,10011,Ultra,Lower Manhattan,
325,GMC050,GMC 89th Parking,212-831-8816,50 east 89th street,New York,New York,10028,Ultra,East of Central Park,
326,GMC051,Chelnik Operating LLC,212-988-9130,880 5th avenue,New York,New York,10021,Ultra,Midtown East,
327,GMC052,Continental Towers,212-650-1936,301 east 79th street,New York,New York,10021,Ultra,East of Central Park,
328,GMC053,Belmont Garage Co,212-288-9170,113 east 84th street,New York,New York,10028,Ultra,East of Central Park,
329,GMC056,Phase II Block A,201-792-4276,121 river street,Hoboken,New Jersey,07030,Ultra,New Jersey,
330,GMC059,Hoboken Waterfront Center 3,,221 river street,Hoboken,New Jersey,07030,Ultra,New Jersey,
331,GMC060,Redball Garage,212-683-2056,142 east 31st street,New York,New York,10016,Ultra,Midtown East,
332,GMC061,420 East 51st St,212-838-7565,420 east 51st street,New York,New York,10022,Ultra,Midtown East,
333,GMC063,400 East 56 Parking LLC,212-752-2884,400 east 56th street,New York,New York,10022,Ultra,Midtown East,
334,GMC064,400 East 56 Parking LLC,212-753-8148,435 east 55th street,New York,New York,10022,Ultra,Midtown East,
335,GMC066,310 East 48th,212-838-1088,310 east 48th street,New York,New York,10017,Ultra,Midtown East,
336,GMC067,420 East 53rd,212-759-5290,420 east 53rd street,New York,New York,10022,Ultra,Midtown East,
337,GMC069,Hudson Tower Garage,212-945-3646,320 albany street,New York,New York,10280,Ultra,Lower Manhattan,
338,GMC070,Townhouse,212-288-1798,177-181 east 73rd street,New York,New York,10021,Ultra,East of Central Park,
339,GMC071,80 East End Ave,212-517-5709,80 east end ave,New York,New York,10028,Ultra,East of Central Park,
340,GMC075,Adams Tower Garage,212-628-1994,351 east 84th street,New York,New York,10028,Ultra,East of Central Park,
341,GMC076,Bond Street Gar,212-375-0300,25 bond street,New York,New York,10012,Ultra,Lower Manhattan,
342,GMC077,Windsor Parking,212-288-6969,332 east 76th street,New York,New York,10021,Ultra,East of Central Park,
343,GMC078,305 East 80th Sr Garage corp,212-628-3121,305 east 80th street,New York,New York,10075,Ultra,East of Central Park,
344,GMC081,Garage Management Corp,212-262-3800,44 west 62nd street,New York,New York,10023,Ultra,West of Central Park,
345,GMC082,Copley Associates,212-787- 6990,2000 broadway,New York,New York,10023,Ultra,West of Central Park,
346,GMC083,Embassy Parking,212-744-0868,120 east 81st street,New York,New York,10028,Ultra,East of Central Park,
347,GMC084,8 East 83rd Garage,212-535-2890,8 east 83rd street,New York,New York,10028,Ultra,East of Central Park,
348,GMC085,Ribar Owners LLC.,212-929-3041,160 west 10th street,New York,New York,10014,Ultra,Lower Manhattan,
349,GMC086,532 West 122nd St,212-961-1075,532-538 west 122nd street,New York,New York,10027,Ultra,Uptown Manhattan,
350,GMC087,New 12th Street Garage LLC,212-924-1604,110 university place,New York,New York,10003,Ultra,Lower Manhattan,
351,GMC088,132 West 56th St,212-265-0841,156 west 56th street,New York,New York,10019,Ultra,Midtown West,
352,GMC090,New Systems,212-879-9796,337 east 64th street,New York,New York,10021,Ultra,East of Central Park,
353,GMC091,Savannah Garage,212-874-2486,250 west 89th street,New York,New York,10024,Ultra,West of Central Park,
354,GMC093,85 John Street,212-385-9182,85 john street,New York,New York,10038,Ultra,Lower Manhattan,
355,GMC096,171 E 84th Parking LLC,212-628-4550,171 east 84th street,New York,New York,10028,Ultra,East of Central Park,
356,GOT004,Stable Car Park,718-921-1513,9201 4th avenue,Brooklyn,New York,11209,Plus,Brooklyn,
357,GOT117,Park 117th LLC,212-222-0242,279 west 117th street,New York,New York,10026,Plus,West of Central Park,
358,GOT139,Park 139 LLC,212-234-0855,34 west 139th street,New York,New York,10037,Plus,Uptown Manhattan,
359,GOT153,Stable Car parking Inc. - 153rd St.,212-491-5572,614 west 153rd street,New York,New York,10031,Plus,Uptown Manhattan,
360,GOT164,Courtesy Parking LLC,718-588-9565,283 east 164th street,Bronx,New York,10454,Ultra,Bronx,
361,HIL175,175 Parking Corp,718-523-5714,175-11 hillside avenue,Jamaica,New York,11432,Ultra,Queens,
362,INT009,"LAZ Parking NY, NJ LLC",212-650-0702,9 west 57th street,New York,New York,10019,Ultra,Midtown West,
363,INT010,1501 M Street,202-298-7030,1501 m street,Washington,DC,20005,Plus,Washington DC and Vicinity,
364,INT012,2025 M Street,202-785-4998,2025 m street nw,Washington,DC,20036,Plus,Washington DC and Vicinity,
365,INT029,Liberty Place,202-785-5189,325 7th street nw,Washington,DC,20004,Plus,Washington DC and Vicinity,
366,INT040,"LAZ Parking NY,NJ LLC",,40 w. 116th st,New York,New York,10026,Ultra,West of Central Park,
367,INT067,"LAZ Parking NY, NJ LLC",212-650-0702,250 east 67th street,New York,New York,10065,Ultra,East of Central Park,
368,INT072,"LAZ Parking NY, NJ LLC",212-535-4718,525 east 72nd street,New York,New York,10021,Ultra,East of Central Park,
369,INT073,"Laz parking NY, NJ LLC 590635",,685 1st avenue,New York,New York,10016,Ultra,Midtown East,
370,INT087,"LAZ Parking NY, NJ LLC",212-628-1340,501 east 87th street,New York,New York,10128,Ultra,East of Central Park,
371,INT140,LAZ Parking NY NJ LLC 590609,,140-160 riverside blvd,New York,New York,10069,Ultra,West of Central Park,
372,INT148,1700 Pennsylvania,202-785-4979,1700 pennsylvania avenue,Washington,DC,20005,Plus,Washington DC and Vicinity,
373,INT174,"LAZ Parking NY, NJ LLC - 590612",,555 waverly ave,Brooklyn,New York,11238,Ultra,Brooklyn,
374,INT175,LAZ Parking,718-388-0134,175 kent avenue,Brooklyn,New York,11249,Ultra,Brooklyn,
375,INT176,"LAZ Parking NY, NJ LLC",,203 jay street,Brooklyn,New York,11201,Ultra,Brooklyn,
376,INT180,LAZ Parking NY NJ LLC 590610,,180 riverside blvd,New York,New York,10069,Ultra,West of Central Park,
377,INT210,Laz Parking NY NJ LLC,212-568-3534,210 cabrini boulevard,New York,New York,10033,Ultra,Uptown Manhattan,
378,INT293,Laz Parking NY NJ,,293 hudson street,New York,New York,10013,Ultra,Lower Manhattan,
379,INT300,"LAZ Parking NY, NJ LLC",,504 myrtle avenue,Brooklyn,New York,11205,Ultra,Brooklyn,
380,INT340,LAZ Parking NY/NJ LLC - 590340,,420 east 20th street,New York,New York,10009,Ultra,Lower Manhattan,
381,INT341,LAZ Parking NY/NJ LLC - 590341,,528 east 20th street,New York,New York,10009,Ultra,Lower Manhattan,
382,INT342,LAZ Parking NY/NJ LLC - 590342,,325-327 ave c loop,New York,New York,10009,Ultra,Lower Manhattan,
383,INT343,LAZ Parking NY/NJ LLC - 590343,,279 avenue c,New York,New York,10009,Ultra,Lower Manhattan,
384,INT344,LAZ Parking NY/NJ LLC - 590344,,251 avenue c,New York,New York,10009,Ultra,Lower Manhattan,
385,INT345,LAZ Parking NY/NJ LLC - 590345,,527 east 14th street,New York,New York,10009,Ultra,Lower Manhattan,
386,INT502,LAZ Parking,202-347-4060,1401 new york ave,Washington,DC,20005,Ultra,Washington DC and Vicinity,
387,INT503,LAZ Parking - 570222,,700 13th street,Washington,DC,20005,Ultra,Washington DC and Vicinity,
388,INT779,"LAZ Parking NY, NJ LLC",646-682-9170,779 riverside drive,New York,New York,10032,Ultra,Uptown Manhattan,
389,INW500,1430 Inwood LLC,718-410-2125,1430 inwood avenue,Bronx,New York,10452,Plus,Bronx,
390,IPK122,NYC73,,120 east 122nd street,New York,New York,10035,B&W,East of Central Park,
391,IPK501,1250 Connecticut,240-855-2459,1250 connecticut avenue nw,Washington,DC,20036,Plus,Washington DC and Vicinity,
392,IPK502,1400 K Street,202-903-9392,1400 k street nw,Washington,DC,20005,Plus,Washington DC and Vicinity,
393,IPK504,Impark Lot #019,,901 4th street nw,Washington,DC,20001,Plus,Washington DC and Vicinity,
394,ITP001,Park Lane Garage,718-874-0221,116-24 grosvenor lane,Richmond Hill,New York,11418,Ultra,Queens,
395,ITP002,4172 Gargage Mgmt LLC,,4172 broadway,New York,New York,10033,Ultra,Uptown Manhattan,
396,ITP003,4162 Gargage Mgmt LLC,,4162 broadway,New York,New York,10033,Ultra,Uptown Manhattan,
397,ITP004,Rector Garage Mgmt LLC,,225 rector street,New York,New York,10280,Ultra,Lower Manhattan,
398,ITP005,W17th Garage,212-242-6264,151 west 17th street,New York,New York,10011,Ultra,Lower Manhattan,
399,ITP006,80 Park Garage Mgmt LLC,212-557-3311,35 east 38th street,New York,New York,10016,Ultra,Midtown East,
400,JMK001,1545 PARKING CORP.,718-731-8253,1545 jerome avenue,Bronx,New York,10452,Ultra,Bronx,
402,KIN087,Enterprise 87 Corp.,212-722-2291,1065 park avenue,New York,New York,10128,Ultra,East of Central Park,
403,LAN791,Lanier Parking,215-568-4025,925 walnut street,Philadelphia,Pennsylvania,19107,Ultra,Philly and Vicinity,
404,LGC002,Adams Parking Corp.,718-643-6440,66 sands street,Brooklyn,New York,11201,B&W,Brooklyn,
405,MAM013,PPS Gold LLC,212-360-6300,13 gold street,New York,New York,10038,Plus,Lower Manhattan,
406,MAM032,5 Square Management,,321 wythe avenue,Brooklyn,New York,11249,Ultra,Brooklyn,
407,MAM033,PPS Lafayette Corp,,325 lafayette avenue,Brooklyn,New York,11238,Ultra,Brooklyn,
408,MAM040,PP Management 1 LLC,917-742-1110,89 bartlett street,Brooklyn,New York,11206,Plus,Brooklyn,
409,MAM050,Junction Elmhurst 27 Corp.,718-844-8716,94-25 57th avenue,Elmhurst,New York,11373,Plus,Queens,
410,MAM053,4 Square Management,718-384-4053,53 broadway,Brooklyn,New York,11249,Plus,Brooklyn,
411,MAM117,Park North Parking,212-360-0004,220 east 117th street,New York,New York,10035,Plus,Uptown Manhattan,
412,MLH000,Main Office,212-686-9800,270 madison avenue,New York,New York,10016,,Not a garage,
413,MLH001,Boston Devonshire,617-227-2446,one devonshire place,Boston,Massachusetts,02109,Ultra,Boston and Vicinity,
414,MLH004,Atlantic Garage,617-526-0720,500 atlantic avenue,Boston,Massachusetts,02210,Ultra,Boston and Vicinity,
415,MLH006,University 10 Parking,212-979-5380,63 east 9th street,New York,New York,10003,Ultra,Lower Manhattan,
416,MLH007,South William Parking,212-269-5056,14-26 south william street,New York,New York,10004,Ultra,Lower Manhattan,
417,MLH009,Unique Parking,212-674-9528,41-47 east 21st street,New York,New York,10010,Ultra,Lower Manhattan,
418,MLH010,Park Serve,212-397-9028,140-166 west 53rd street,New York,New York,10019,Ultra,Midtown West,
419,MLH012,West Plaza 29,212-684-9526,500-520 2nd avenue,New York,New York,10016,Ultra,Midtown East,
420,MLH014,1114 Sixth Parking,212-997-8995,1114 6th avenue,New York,New York,10036,Ultra,Midtown West,
421,MLH015,2 Lincoln Parking LLC,212-874-8639,2 lincoln plaza,New York,New York,10023,Ultra,West of Central Park,
422,MLH016,Affiliated Parking,212-599-9024,247-261 madison avenue,New York,New York,10016,Ultra,Midtown East,
423,MLH017,53rd Sterling Parking,212-223-3181,304 east 53rd street,New York,New York,10022,Ultra,Midtown East,
424,MLH018,MPC Parking LLC,212-980-0215,1104 2nd avenue,New York,New York,10022,Ultra,Midtown East,
425,MLH019,Select Parking,212-755-6223,301 east 57th street,New York,New York,10022,Ultra,Midtown East,
426,MLH020,Livingston Parking,718-855-1180,111 livingston street,Brooklyn,New York,11201,Ultra,Brooklyn,
427,MLH021,Albany St Parking,212-227-8770,90 west street,New York,New York,10006,Ultra,Lower Manhattan,
428,MLH022,2nd and 22nd Parking,212-475-1701,301 east 22nd street,New York,New York,10010,Ultra,Lower Manhattan,
429,MLH024,Gramercy 24 Parking,212-683-4009,401-409 2nd avenue,New York,New York,10010,Ultra,Midtown East,
430,MLH025,111 Eighth Avenue,212-929-8164,111 8th avenue,New York,New York,10011,Ultra,Lower Manhattan,
431,MLH026,West Plaza Garage LLC,212-252-8038,301 east 26th street,New York,New York,10010,Ultra,Midtown East,
432,MLH027,Floral 26 Parking,212-206-8749,55 west 25th street,New York,New York,10010,Ultra,Midtown West,
433,MLH028,Clinton 53 Parking LLC,212-956-3218,515 west 52nd street,New York,New York,10019,Ultra,Midtown West,
434,MLH029,Kips Bay 27 Parking,212-684-8934,236-246 east 27th street,New York,New York,10010,Ultra,Midtown East,
435,MLH030,205 East 38th St,646-964-4339,205 east 38th street,New York,New York,10016,Ultra,Midtown East,
436,MLH032,Mercury Parking,212-265-5035,350 west 50th street,New York,New York,10019,Ultra,Midtown West,
437,MLH034,Tunnel 34 Parking,212-689-2730,222 east 34th street,New York,New York,10016,Ultra,Midtown East,
438,MLH035,Lafayette Place,212-777-1659,445 lafayette street,New York,New York,10003,Ultra,Lower Manhattan,
439,MLH037,Park Avenue 39 Parking,212-682-6884,90 park avenue,New York,New York,10016,Ultra,Midtown East,
440,MLH039,39th And Eight Parking,212-695-3472,310-312 west 39th street,New York,New York,10018,Ultra,Midtown West,
441,MLH042,Westside 42 Parking,212-594-4546,350 west 42nd street,New York,New York,10036,Ultra,Midtown West,
442,MLH043,Theater 50 Parking LLC,212-307-0650,305 west 50th street,New York,New York,10019,Ultra,Midtown West,
443,MLH049,Zenith Parking LLC,212-581-8590,790-806 8th avenue,New York,New York,10019,Ultra,Midtown West,
444,MLH051,HJ Parking LLC,212-581-8490,851-9 8th avenue,New York,New York,10019,Ultra,Midtown West,
445,MLH052,Circle Parking,212-397-9029,200-206 west 52nd street,New York,New York,10019,Ultra,Midtown West,
446,MLH054,Sutton 53 Parking,212-644-6312,410-422 east 54th street,New York,New York,10022,Ultra,Midtown East,
447,MLH056,Liberty View,212-842-2305,2 river terrace,New York,New York,10007,Ultra,Lower Manhattan,
448,MLH057,Apex Parking,212-765-7069,440 west 57th street,New York,New York,10019,Ultra,Midtown West,
449,MLH058,Lexington 58 Parking,212-755-8678,150 east 58th street,New York,New York,10155,Ultra,Midtown East,
450,MLH059,59 and 5th Parking,212-980-7092,767 5th avenue,New York,New York,10022,Ultra,Midtown East,
451,MLH060,Tower 25 Parking,212-213-1349,305 east 24th street,New York,New York,10010,Ultra,Midtown East,
452,MLH062,Global Parking,212-221-9485,143-145 west 40th street,New York,New York,10018,Ultra,Midtown West,
453,MLH063,Uptown Parking,212-750-3535,201-207 east 63rd street,New York,New York,10021,Ultra,East of Central Park,
454,MLH064,Broadway & 64th Parking,212-724-6282,1900 broadway,New York,New York,10023,Ultra,West of Central Park,
455,MLH065,Eastside 65 Parking,212-644-7413,200 east 66th street,New York,New York,10021,Ultra,East of Central Park,
456,MLH066,Primary Parking,212-245-1268,721 10th avenue,New York,New York,10019,Ultra,Midtown West,
457,MLH068,Omni Parking LLC,212-874-9664,143-159 west 68th street,New York,New York,10023,Ultra,West of Central Park,
458,MLH069,Regal Parking,212-725-9319,250-264 madison avenue,New York,New York,10016,Ultra,Midtown East,
459,MLH070,Metropolitan 51 Parking,212-308-8474,569-573 lexington avenue,New York,New York,10022,Ultra,Midtown East,
460,MLH072,East River 72nd Garage,212-249-8196,515 east 72nd street,New York,New York,10021,Ultra,East of Central Park,
461,MLH075,Astor Parking,212-869-3543,1511-1515 broadway,New York,New York,10036,Ultra,Midtown West,
462,MLH076,Resource Parking,212-997-9115,1540-1548 broadway,New York,New York,10036,Ultra,Midtown West,
463,MLH077,Command Parking,212-664-9042,1700 broadway,New York,New York,10019,Ultra,Midtown West,
464,MLH078,Port Parking LLC,212-245-9421,235 west 48th street,New York,New York,10036,Ultra,Midtown West,
465,MLH079,Advance Parking,212-221-8902,249-253 west 43rd street,New York,New York,10036,Ultra,Midtown West,
466,MLH080,Patriot - A -,212-227-6940,308-332 greenwich street,New York,New York,10013,Ultra,Lower Manhattan,
467,MLH081,Patriot -B-,212-619-2790,35 harrison street,New York,New York,10013,Ultra,Lower Manhattan,
468,MLH082,Patriot -C-,212-608-2780,42 harrison street,New York,New York,10013,Ultra,Lower Manhattan,
469,MLH083,Patriot -D-,212-608-4182,374 greenwich street,New York,New York,10013,Ultra,Lower Manhattan,
470,MLH084,Patriot -E-,212-227-7035,376 greenwich street,New York,New York,10013,Ultra,Lower Manhattan,
471,MLH086,80 Riverside,212-245-1840,80 riverside blvd.,New York,New York,10069,Ultra,West of Central Park,
472,MLH087,Valor Parking,212-599-9717,235 east 45th street,New York,New York,10017,Ultra,Midtown East,
473,MLH088,Mansion 88 Parking,212-734-0276,170 east end avenue,New York,New York,10128,Ultra,East of Central Park,
474,MLH090,1330 Sixth Parking,212-586-0169,1330 avenue of the americas,New York,New York,10019,Ultra,Midtown West,
475,MLH092,79 Street Parking,212-650-1612,900 park avenue,New York,New York,10021,Ultra,East of Central Park,
476,MLH094,Pace Parking,212-502-5908,990-996 avenue of the americas,New York,New York,10018,Ultra,Midtown West,
477,MLH095,1350 Sixth Parking,212-582-4294,1350 avenue of the americas,New York,New York,10019,Ultra,Midtown West,
478,MLH096,215 E 95th St,212-735-6767,201-205 east 95th street,New York,New York,10128,Ultra,East of Central Park,
479,MLH097,Hudson View,212-974-9608,747 10th avenue,New York,New York,10019,Ultra,Midtown West,
480,MLH098,Carlisle Parking,212-619-4235,75 west street,New York,New York,10006,Ultra,Lower Manhattan,
481,MLH100,100 Riverside,212-724-0107,100 riverside blvd. (entry on 64th street),New York,New York,10023,Ultra,West of Central Park,
482,MLH102,Beneficial 21 Parking,212-473-0400,329 east 21st street,New York,New York,10010,Ultra,Lower Manhattan,
483,MLH103,Little Liberty 1,212-964-0236,211 north end avenue,New York,New York,10282,Ultra,Lower Manhattan,
484,MLH104,Vincent 15 Parking,212-243-4201,553-571 avenue of the americas,New York,New York,10011,Ultra,Lower Manhattan,
485,MLH106,Newbury Operating,212-534-9303,249-257 east 86th street,New York,New York,10028,Ultra,East of Central Park,
486,MLH107,110 East 16th St,212-473-9056,110 east 16th street,New York,New York,10003,Ultra,Lower Manhattan,
487,MLH108,Excellent Parking,212-684-8259,153-155 east 29th street,New York,New York,10016,Ultra,Midtown East,
488,MLH109,Claridge 87 Parking,212-987-3879,200-206 east 87th street,New York,New York,10128,Ultra,East of Central Park,
489,MLH110,Church St Parking,212-962-9011,110 church street,New York,New York,10013,Ultra,Lower Manhattan,
490,MLH111,Distinctive Parking,212-980-3057,35-39 east 61st street,New York,New York,10021,Ultra,East of Central Park,
491,MLH112,8th Street Parking,212-475-9562,11 5th avenue,New York,New York,10003,Ultra,Lower Manhattan,
492,MLH114,22nd and Sixth,646-230-7263,60 west 23rd street,New York,New York,10010,Ultra,Lower Manhattan,
493,MLH115,Bristol 65 Parking,212-319-1485,200-210 east 65th street,New York,New York,10021,Ultra,East of Central Park,
494,MLH116,Brevoort,212-473-9751,20 east 9th street,New York,New York,10003,Ultra,Lower Manhattan,
495,MLH117,Atrium Parking,212-502-5324,155-167 west 36th street,New York,New York,10018,Ultra,Midtown West,
