DCA License Number	License Type	License Expiration Date	Business Name	Business Name 2	Address Building	Address Street Name	Secondary Address Street Name	Address City	Address State	Address ZIP	Contact Phone Number	Address Borough	Borough Code
2078121-DCA	Business	3/31/21	GM PARK GROUP INC		116	NOSTRAND AVE		BROOKLYN	NY	11205	6466100315	Brooklyn	3
2011162-DCA	Business	3/31/15	k one parking inc		2160	WEBSTER AVE		BRONX	NY	10457	3478545507	Bronx	2
1463594-DCA	Business	3/31/19	"KINNEY PARKING SYSTEM, LLC"		58	W 58TH ST		NEW YORK	NY	10019	2125025490	Manhattan	1
2044044-DCA	Business	3/31/21	QUIK PARK ELY GARAGE II LLC		180	MYRTLE AVE		BROOKLYN	NY	11201	2126869800	Brooklyn	3
0955190-DCA	Business	3/31/11	BETH PARKING CORP.		225	RECTOR PL		NEW YORK	NY	10280	2127533100	Manhattan	1
1470216-DCA	Business	3/31/21	KK ENTERPRISE GROUP INC.		554	W 182ND ST		NEW YORK	NY	10033	9173277488	Manhattan	1
2024463-DCA	Business	10/21/15	MP WEST 57TH LLC		9	W 57TH ST		NEW YORK	NY	10019	2124903460	Manhattan	1
0800489-DCA	Business	3/31/21	"MUSS, HYMAN - ET AL"	C E TOWERS CO	11835	QUEENS BLVD		FOREST HILLS	NY	11375	7182633800	Queens	4
1461171-DCA	Business	3/31/21	CHAMPION PARKING 230 LLC		230	WEST   55 STREET		NEW YORK	NY	10019	2123085959		
1312149-DCA	Business	3/31/21	ENTERPRISE 40TH PARKING CORP.		315	E 40TH ST		NEW YORK	NY	10016	2127367171	Manhattan	1
1404566-DCA	Business	3/31/13	ENTERPRISE WASHINGTON PARKING LLC		545	WASHINGTON AVE		BROOKLYN	NY	11238	2126270012	Brooklyn	3
1461731-DCA	Business	3/31/21	"IMPERIAL PARKING (U.S.), LLC"		12601	ROOSEVELT AVE		FLUSHING	NY	11368	2129378660	Queens	4
2001479-DCA	Business	3/31/21	ENTERPRISE 230 PARKING LLC		230	E 30TH ST		NEW YORK	NY	10016	2126863330	Manhattan	1
2086774-DCA	Business	3/31/21	68 PARKING INC		13633	37TH AVE		FLUSHING	NY	11354	6469966479	Queens	4
1070451-DCA	Business	3/31/15	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		350	E 30TH ST		NEW YORK	NY	10016	2127798311	Manhattan	1
2031030-DCA	Business	3/31/17	"IMPERIAL PARKING (U.S.), LLC"	IMPARK	500	4TH AVE		BROOKLYN	NY	11215	212-934-8660	Brooklyn	3
1331441-DCA	Business	3/31/11	"CARPARK 39TH STREET, LLC"		80	PARK AVE		NEW YORK	NY	10016	2128661000	Manhattan	1
1127872-DCA	Business	3/31/21	1350 SIXTH PARKING LLC		1350	6TH AVE		NEW YORK	NY	10019	2126809800	Manhattan	1
2009474-DCA	Business	3/31/17	100 Varick Realty LLC	403 East 60th Street Parking LLC	403	E 60TH ST		NEW YORK	NY	10022	2125343939	Manhattan	1
0971313-DCA	Business	3/31/15	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		135	E 47TH ST		NEW YORK	NY	10017	2126296602	Manhattan	1
1369473-DCA	Business	3/31/15	PARK RIGHT CORPORATION		307	SAINT MARKS AVE		BROOKLYN	NY	11238	2122624771	Brooklyn	3
1012409-DCA	Business	3/31/21	99 JANE STREET PARKING LLC		99	JANE ST		NEW YORK	NY	10014	212-686-9800	Manhattan	1
2026962-DCA	Business	3/31/17	GMH PARK INC		5229	BROADWAY		BRONX	NY	10463	9172140583	Bronx	2
2083257-DCA	Business	3/31/21	"ONE PARKING 703, INC."		21010	23RD AVE		BAYSIDE	NY	11360	4802722100	Queens	4
1155049-DCA	Business	3/31/21	MOTT PARK LLC		284	MOTT ST		NEW YORK	NY	10012	212-564-3199	Manhattan	1
2051013-DCA	Business	3/31/21	LENOX 65 PARKING LLC		1189	1ST AVE		NEW YORK	NY	10065	2126869800	Manhattan	1
1117862-DCA	Business	1/11/17	DYNAMIC PARKING LLC		222	E 41ST ST		NEW YORK	NY	10017	2126869800	Manhattan	1
1383522-DCA	Business	3/31/13	"IMPERIAL PARKING (U.S.), LLC"	IMPARK	212	S OXFORD ST		BROOKLYN	NY	11217	2129378660	Brooklyn	3
2030398-DCA	Business	3/31/21	"YORKVILLE CAR PARK, LLC"		1635	3RD AVE		NEW YORK	NY	10128		Manhattan	1
2082096-DCA	Business	3/31/21	EMERALD PARKING SOLUTIONS INC.		1600	SEDGWICK AVE		BRONX	NY	10453	3476385589	Bronx	2
1397270-DCA	Business	3/31/13	CH RENTAL PARKING LLC		414	HICKS ST		BROOKLYN	NY	11201	2123483268	Brooklyn	3
1245038-DCA	Business	3/31/21	WELCOME PARKING LIMITED LIABILITY COMPANY		8806	VAN WYCK EXPY		JAMAICA	NY	11418	2016807129	Queens	4
0962302-DCA	Business	3/31/21	VIP CAPITAL PARKING CORPORATION		298	MULBERRY ST		NEW YORK	NY	10012	2129253331	Manhattan	1
1348880-DCA	Business	3/31/11	K & R PARKING CORP.		1872	E TREMONT AVE		BRONX	NY	10460	6467376163	Bronx	2
1461260-DCA	Business	3/31/21	IMPERIAL PARKING US LLC	IMPARK	120-01	ROOSEVELT AVENUE		FLUSHING	NY	11368	2129378660		
2013149-DCA	Business	9/5/18	PF PARKING CORP.		24	LEONARD ST		NEW YORK	NY	10013	5163781222	Manhattan	1
1262200-DCA	Business	3/31/11	"FLASH 31 MANAGEMENT, LLC"		124	W 31ST ST		NEW YORK	NY	10001	7187880066	Manhattan	1
1135161-DCA	Business	3/31/15	WEST SIDE PARKING CORP.		432	WASHINGTON ST		NEW YORK	NY	10013	2122748513	Manhattan	1
2022495-DCA	Business	3/31/17	"QSB 267 PROPERTY CO, LLC"		271	W 87TH ST		NEW YORK	NY	10024		Manhattan	1
1317191-DCA	Business	3/31/21	QUIK PARK CHESAPEAKE LLC		400	E 81ST ST		NEW YORK	NY	10028	2128322066	Manhattan	1
1277075-DCA	Business	3/31/21	"ESP GROUP OF NEW YORK, INC."		354	CLARKSON AVE		BROOKLYN	NY	11226	7184697672	Brooklyn	3
1320538-DCA	Business	6/25/13	GRAND CAR PARK LLC		110	E 42ND ST		NEW YORK	NY	10017	2122216111	Manhattan	1
1013974-DCA	Business	3/31/21	SOUTH WILLIAM PARKING LLC		16	S WILLIAM ST		NEW YORK	NY	10004	2126869800	Manhattan	1
1231896-DCA	Business	8/12/10	IMPARK NORTH END LLC		211	N END AVE		NEW YORK	NY	10282	2129378660	Manhattan	1
2082019-DCA	Business	3/31/21	EZY PARKING INC.		930	SHERIDAN AVE		BRONX	NY	10451	7182944264	Bronx	2
0972256-DCA	Business	3/31/21	EASTSIDE PARKING LLC		45	SUTTON PL S		NEW YORK	NY	10022	2123558890	Manhattan	1
1452993-DCA	Business	3/31/19	SAB PARKING INC.		200	E END AVE		NEW YORK	NY	10128	6468610883	Manhattan	1
2070245-DCA	Business	3/31/21	PARKING 56 LLC		33	W 56TH ST		NEW YORK	NY	10019	6467734400	Manhattan	1
1002428-DCA	Business	3/31/19	REED PARKING CORP.		10025	QUEENS BLVD		FLUSHING	NY	11375	2124903460	Queens	4
1338987-DCA	Business	3/31/19	MANHATTAN PARKING E 71 ST  CORP		311	E 71ST ST		NEW YORK	NY	10021	2128619652	Manhattan	1
1263718-DCA	Business	3/31/21	WETHEROLE LLC		6574	WETHEROLE ST		REGO PARK	NY	11374	7188969896	Queens	4
1181124-DCA	Business	3/31/21	200 EAST PARKING CORP.		1081	3RD AVE		NEW YORK	NY	10065	2127500254	Manhattan	1
1254733-DCA	Business	3/31/21	"CODY CAR PARK, INC."		555	11TH ST		BROOKLYN	NY	11215	2122216111	Brooklyn	3
2006828-DCA	Business	3/31/21	QUIK PARK MORTON LLC		1	MORTON SQ		NEW YORK	NY	10014		Manhattan	1
1177270-DCA	Business	3/31/11	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		501	E 87TH ST		NEW YORK	NY	10128	2125025490	Manhattan	1
0881522-DCA	Business	3/31/13	DEAN STREET PARKING CORP.		885	DEAN ST		BROOKLYN	NY	11238	7183983409	Brooklyn	3
1416368-DCA	Business	3/31/21	QUIK PARK EAST 88TH STREET LLC		160	E 88TH ST		NEW YORK	NY	10128	2128323022	Manhattan	1
0966613-DCA	Business	3/31/21	"RISING WOLF PARKING GARAGE, LLC"		336	E 9TH ST		NEW YORK	NY	10003	2124755858	Manhattan	1
2083503-DCA	Business	3/31/21	"ABM INDUSTRY GROUPS, LLC"	ABM PARKING SERVICES	1633	BROADWAY		NEW YORK	NY	10019	2127576500	Manhattan	1
2067952-DCA	Business	3/31/21	159 WEST 53RD PARKING CORP		159	W 53RD ST		NEW YORK	NY	10019	2127367171	Manhattan	1
2034099-DCA	Business	3/31/17	LM SUSIE PARKING LLC		214	W 95TH ST		NEW YORK	NY	10025	2127143571	Manhattan	1
2050361-DCA	Business	3/31/21	403 East 60th Street Parking LLC		403	E 60TH ST		NEW YORK	NY	10022		Manhattan	1
1233571-DCA	Business	3/31/21	8TH STREET PARKING LLC		11	5TH AVE		NEW YORK	NY	10003	2126869800	Manhattan	1
1295462-DCA	Business	4/21/14	PARAMOUNT CAR PARK LLC		353	4TH AVE		BROOKLYN	NY	11215	2122216111	Brooklyn	3
1423788-DCA	Business	3/31/19	ABLE PARKING LLC		160	W 124TH ST		NEW YORK	NY	10027	2129299404	Manhattan	1
0368300-DCA	Business	3/31/21	APEX PARKING LLC		440	W 57TH ST		NEW YORK	NY	10019	2126869800	Manhattan	1
1286774-DCA	Business	6/9/13	"ALLIANCE IMPALA PARKING, LLC"		404	E 76TH ST		NEW YORK	NY	10021	2125810535	Manhattan	1
0898031-DCA	Business	3/31/13	EDISON 9TH AVENUE PARKING CORPORATION		440	W 33RD ST		NEW YORK	NY	10001	2016432080	Manhattan	1
0369777-DCA	Business	3/31/21	COMMAND PARKING LLC		1700	BROADWAY		NEW YORK	NY	10019	212-686-9800	Manhattan	1
1206738-DCA	Business	3/31/11	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		15001	89TH AVE		JAMAICA	NY	11432	2125025490	Queens	4
1379494-DCA	Business	3/31/17	ONE PARKING 200 PARK INC.	ONE PARKING	200	PARK AVE		NEW YORK	NY	10166	5618337222	Manhattan	1
1320741-DCA	Business	3/31/21	201 PEARL PARKING CORP.		201	PEARL ST		NEW YORK	NY	10038	2127367171	Manhattan	1
1335774-DCA	Business	3/31/13	UPTOWN PARKING GARAGE CORPORATION		160	W 124TH ST		NEW YORK	NY	10027	6462593636	Manhattan	1
1386662-DCA	Business	3/31/15	TODAY PARKING CORP.		284	DYCKMAN ST		NEW YORK	NY	10034	2125696249	Manhattan	1
0427429-DCA	Business	3/31/13	STOP-PARK GARAGE CORP.	CENTRAL PARKING SYSTEM	18	MORTON ST		NEW YORK	NY	10014	2126296602	Manhattan	1
1280337-DCA	Business	3/31/11	STANDARD PARKING CORPORATION		71	E 153RD ST		BRONX	NY	10451	7182926515	Bronx	2
1450868-DCA	Business	3/31/13	QUIK PARK TRUFFLES LLC		12	E 13TH ST		NEW YORK	NY	10003	2128322066	Manhattan	1
0948602-DCA	Business	3/31/11	82ND ST. PARKING GARAGE CORP.		3555	82ND ST		JACKSON HEIGHTS	NY	11372	7187794774	Queens	4
1185631-DCA	Business	3/31/21	SUTTON 53 PARKING LLC		410	E 54TH ST		NEW YORK	NY	10022	212-686-9800	Manhattan	1
1009614-DCA	Business	3/31/21	"DISCOUNT PARKING, INC"		180	ASHLAND PL		BROOKLYN	NY	11217	5166267412	Brooklyn	3
1157539-DCA	Business	3/31/11	"KINNEY PARKING SYSTEM, INC."	CENTRAL PARKING SYSTEM	200	E 88TH ST		NEW YORK	NY	10128	2125025490	Manhattan	1
2084602-DCA	Business	3/31/21	PPS NEPTUNE LLC		360	NEPTUNE AVE		BROOKLYN	NY	11235	2123606300	Brooklyn	3
1364914-DCA	Business	3/31/17	"RENOIR CAR PARK, LLC"		225	E 63RD ST		NEW YORK	NY	10065	2129966363	Manhattan	1
1415620-DCA	Business	3/31/13	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		568	UNION AVE		BROOKLYN	NY	11211	2125025490	Brooklyn	3
2038250-DCA	Business	3/31/21	"87-10 NORTHERN BLVD PARKING, LLC"		3306	88TH ST		JACKSON HEIGHTS	NY	11372	9175924762	Queens	4
1459851-DCA	Business	3/31/19	"KINNEY PARKING SYSTEM, INC."		211	E 57TH ST		NEW YORK	NY	10022	212-502-5490	Manhattan	1
1460563-DCA	Business	3/31/21	LTG PARKING CORP.		185	W END AVE		NEW YORK	NY	10023	2126869800	Manhattan	1
1160254-DCA	Business	4/13/14	207 GARAGE L.L.C.		3875	9TH AVE		NEW YORK	NY	10034	8004090819	Manhattan	1
1175732-DCA	Business	3/31/17	"90 WASHINGTON CAR PARK, LLC"	GGMC	90	WASHINGTON ST		NEW YORK	NY	10006	2129966363	Manhattan	1
1192937-DCA	Business	3/31/17	QUIK PARK EAGLE LLC		240	E 41ST ST		NEW YORK	NY	10017	2128322066	Manhattan	1
1288781-DCA	Business	3/31/19	AMPCO SYSTEM PARKING		13	E 54TH ST		NEW YORK	NY	10022	2127542678	Manhattan	1
2083249-DCA	Business	3/31/21	POO PARKING CORP.		1650	SELWYN AVE		BRONX	NY	10457	2124903460	Bronx	2
1126177-DCA	Business	3/31/15	FANDA PARKING LLC		340	E 74TH ST		NEW YORK	NY	10021	2125945050	Manhattan	1
2002967-DCA	Business	3/31/17	QUIK PARK WEST 50TH STREET LLC		1633	BROADWAY		NEW YORK	NY	10019		Manhattan	1
2080152-DCA	Business	3/31/19	GR PARKING INC		4007	73RD ST		WOODSIDE	NY	11377	3474459514	Queens	4
1463865-DCA	Business	3/31/21	MAESTRO PARKING LLC		882	7TH AVE		NEW YORK	NY	10019	2126869800	Manhattan	1
2082681-DCA	Business	3/31/21	"ABM INDUSTRY GROUPS, LLC"	ABM PARKING SERVICES	866	UNITED NATIONS PLZ		NEW YORK	NY	10017	2127576500	Manhattan	1
1275692-DCA	Business	3/31/19	"ESP GROUP OF NEW YORK, INC."		349	LENOX RD		BROOKLYN	NY	11226	7184697672	Brooklyn	3
1440018-DCA	Business	10/30/12	ARTHUR MANAGEMENT CORPORATION		4400	3RD AVE		BRONX	NY	10457	7186188021	Bronx	2
1247739-DCA	Business	3/31/15	LONG ISLAND JEWISH MEDICAL CENTER		27117	76TH AVE		NEW HYDE PARK	NY	11040	7184707764	Queens	4
1099887-DCA	Business	3/31/13	WEST 31ST GARAGE CORP.		148	W 31ST ST		NEW YORK	NY	10001	2127367171	Manhattan	1
1308597-DCA	Business	3/31/21	"HOME HOSPITAL PARKING, LLC"		2621	AQUEDUCT AVE		BRONX	NY	10468	2126279822	Bronx	2
2045551-DCA	Business	6/26/19	QUIK PARK TRIBECA II LLC		450	WASHINGTON ST		NEW YORK	NY	10013	2126869800	Manhattan	1
1440441-DCA	Business	3/31/19	QUIK PARK PCVST GARAGE LLC		527	E 14TH ST		NEW YORK	NY	10009	2126145862	Manhattan	1
1352539-DCA	Business	3/31/21	ANITA HOLDING LLC		9905	63RD DR		REGO PARK	NY	11374	2125642111	Queens	4
2051337-DCA	Business	3/31/21	NEPTUNE PARKING LLC		486	NEPTUNE AVE	486-530 NEPTUNE AVE	BROOKLYN	NY	11224	2126869800	Brooklyn	3
0368502-DCA	Business	3/31/21	GLOBAL PARKING LLC		143	W 40TH ST		NEW YORK	NY	10018	2126869800	Manhattan	1
1232463-DCA	Business	3/31/21	LAFAYETTE PLACE PARKING LLC		445	LAFAYETTE ST		NEW YORK	NY	10003	2127771659	Manhattan	1
2082682-DCA	Business	3/31/21	"ABM INDUSTRY GROUPS, LLC"	ABM PARKING SERVICES	750	LEXINGTON AVE		NEW YORK	NY	10022	2127576500	Manhattan	1
1364519-DCA	Business	3/31/21	QUIK PARK 1133 GARAGE LLC		1133	AVENUE OF THE AMERICAS		NEW YORK	NY	10036	2126869800	Manhattan	1
1415121-DCA	Business	3/31/15	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		506	W 181ST ST		NEW YORK	NY	10033	2125025490	Manhattan	1
1267813-DCA	Business	3/31/17	3896 PARKING CORP.		3896	10TH AVE		NEW YORK	NY	10034	2125696508	Manhattan	1
0999137-DCA	Business	3/31/21	9-11 LLC		9	PARK AVE		NEW YORK	NY	10016	212-686-9800	Manhattan	1
1420787-DCA	Business	3/31/21	CHAMPION PARKING 68 LLC		80	CENTRAL PARK W		NEW YORK	NY	10023	2123085959	Manhattan	1
2045345-DCA	Business	3/31/21	EAST VILLAGE PARKING LLC		22	E 1ST ST		NEW YORK	NY	10003	2126869800	Manhattan	1
1204606-DCA	Business	3/31/13	"KINNEY PARKING SYSTEM, INC."	CENTRAL PARKING SYSTEM	14	CHARLTON ST		NEW YORK	NY	10014	2125025490	Manhattan	1
1226477-DCA	Business	3/31/11	"KINNEY PARKING SYSTEM, INC."	CENTRAL PARKING SYSTEM	16327	ARCHER AVE		JAMAICA	NY	11433	7186589619	Queens	4
1393276-DCA	Business	3/31/15	QUIK PARK 175 K LLC		53	N 3RD ST		BROOKLYN	NY	11249	2128322066	Brooklyn	3
2024409-DCA	Business	9/9/15	ATLANTIC GARAGE MANAGEMENT LLC		238	ATLANTIC AVE		BROOKLYN	NY	11201	646-964-4323	Brooklyn	3
1420682-DCA	Business	3/31/21	QUEENS WEST PARKING LLC		476	47TH AVE		LONG ISLAND CITY	NY	11109	7186061760	Queens	4
1307745-DCA	Business	3/31/15	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		7074	E 162ND ST		BRONX	NY	10452	2125025490		
1275883-DCA	Business	3/31/21	CENTURY PARKING CORP.		2600	NETHERLAND AVE		BRONX	NY	10463	2127367171	Bronx	2
0963093-DCA	Business	3/31/15	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		798	UNION ST		BROOKLYN	NY	11215	2126296602	Brooklyn	3
1466384-DCA	Business	3/31/19	"KINNEY PARKING SYSTEM, LLC"		1153	YORK AVE		NEW YORK	NY	10065	2125025490	Manhattan	1
0976184-DCA	Business	3/31/17	IMPERIAL HOUSE PARKING LLC		150	E 69TH ST		NEW YORK	NY	10021	2127142442	Manhattan	1
1129975-DCA	Business	3/31/11	"LAN TIAN GARAGE, INC."		89	HENRY ST		NEW YORK	NY	10002	2123859600	Manhattan	1
1458328-DCA	Business	3/31/19	OMEGA PARKING SYSTEMS LLC		200	E 24TH ST		NEW YORK	NY	10010	2127251791	Manhattan	1
2087759-DCA	Business	3/31/21	132 EAST 35TH STREET GARAGE LLC		132	E 35TH ST		NEW YORK	NY	10016	6465840409	Manhattan	1
1262199-DCA	Business	3/31/13	21ST GARAGE LLC		436	W 36TH ST		NEW YORK	NY	10018	2126270012	Manhattan	1
1451289-DCA	Business	3/31/21	QUIK PARK 485 GARAGE LLC		485	LEXINGTON AVE		NEW YORK	NY	10017	2128322066	Manhattan	1
2042764-DCA	Business	3/31/19	"ABM PARKING SERVICES, INC"		1633	BROADWAY		NEW YORK	NY	10019	2122131282	Manhattan	1
1205112-DCA	Business	3/31/13	"KINNEY PARKING SYSTEM, INC."	CENTRAL PARKING SYSTEM	477	LEXINGTON AVE		NEW YORK	NY	10017	2125025490	Manhattan	1
1157522-DCA	Business	3/31/11	CROTONA PARKWAY GARAGE INC.		1981	HONEYWELL AVE		BRONX	NY	10460	7186206177	Bronx	2
2009040-DCA	Business	3/31/19	AD PARKING INC.		331	E 132ND ST		BRONX	NY	10454	7189939003	Bronx	2
2026884-DCA	Business	3/31/19	QUIK PARK WARREN GARAGE LLC		86	WARREN ST		NEW YORK	NY	10007	2128322066	Manhattan	1
2005024-DCA	Business	3/31/17	AUDUBON PARKING MGMT LLC.		284	AUDUBON AVE		NEW YORK	NY	10033		Manhattan	1
2022636-DCA	Business	3/31/19	425 EAST 79 CAR PARK LLC		415	E 79TH ST		NEW YORK	NY	10075	2129966363	Manhattan	1
1179523-DCA	Business	3/31/21	815 TENTH PARKING LLC		815	10TH AVE		NEW YORK	NY	10019	212-686-9800	Manhattan	1
1386026-DCA	Business	3/31/19	PARK RIGHT CORPORATION		235	GOLD ST		BROOKLYN	NY	11201	2122624771	Brooklyn	3
1338623-DCA	Business	2/26/19	QUIK PARK HUDSON 180 LLC		180	RIVERSIDE BLVD		NEW YORK	NY	10069	2128322066	Manhattan	1
1329614-DCA	Business	3/31/21	"QUIK PARK EAST 67TH STREET, LLC"	QUIK	400	E 67TH ST		NEW YORK	NY	10065	2128322066	Manhattan	1
1227911-DCA	Business	8/24/11	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		15902	JAMAICA AVE		JAMAICA	NY	11432	7185260156	Queens	4
2044751-DCA	Business	1/3/17	BELUGA PARKING CORP		1830	E TREMONT AVE		BRONX	NY	10460	2125416050	Bronx	2
2019665-DCA	Business	3/31/21	93RD STREET PARKING LLC		100	W 93RD ST		NEW YORK	NY	10025	212-686-9800	Manhattan	1
1461257-DCA	Business	3/31/21	IMPERIAL PARKING US LLC	IMPARK	450	EAST 79TH ST		NEW YORK	NY	10075	2129378660	Manhattan	1
2081726-DCA	Business	3/31/21	"LM CHASE PARKING, LLC."		344	E 52ND ST		NEW YORK	NY	10022	2127143571	Manhattan	1
1326426-DCA	Business	3/31/17	"REGAL CAR PARK, LLC"		33	W 56TH ST		NEW YORK	NY	10019	1212216111	Manhattan	1
1013486-DCA	Business	3/31/11	F & M PARKING LOT CORP.		363	E 138TH ST		BRONX	NY	10454	7188501030	Bronx	2
1377213-DCA	Business	3/31/21	5TH AVENUE PROPERTY & PARKING LLC		1325	5TH AVE		NEW YORK	NY	10026	2124211117	Manhattan	1
1377356-DCA	Business	3/31/13	F&T MANAGEMENT & PARKING CORP.		13331	39TH AVE		FLUSHING	NY	11354	7188881980	Queens	4
1257433-DCA	Business	3/31/13	"IMPERIAL PARKING (U.S.), INC"		251	AVENUE C		NEW YORK	NY	10009	2129378660	Manhattan	1
2000568-DCA	Business	3/31/15	"CENTRAL PARKING SYSTEM OF NEW YORK, INC"		375	PARK AVE		NEW YORK	NY	10152	2125025490	Manhattan	1
0924489-DCA	Business	3/31/21	CHAMPION BROADWAY PARKING CORP		60	E 8TH ST		NEW YORK	NY	10003	2124739061	Manhattan	1
1330550-DCA	Business	7/30/15	QUIK PARK WEST 57 LLC		9	W 57TH ST		NEW YORK	NY	10019	2128322066	Manhattan	1
1310681-DCA	Business	3/31/21	SBC PARKING LLC		50	E 89TH ST		NEW YORK	NY	10128	2128318816	Manhattan	1
2013884-DCA	Business	3/31/17	"MAIDEN PARKING MGMT, LLC"		151	MAIDEN LN		NEW YORK	NY	10038	2127957275	Manhattan	1
1380145-DCA	Business	10/30/13	"ELEMENT PARKING MGMT, LLC"		555	W 59TH ST		NEW YORK	NY	10019	2127957275	Manhattan	1
0367230-DCA	Business	3/31/13	PROBE PARKING LLC		300	E 46TH ST		NEW YORK	NY	10017	2126869800	Manhattan	1
0369041-DCA	Business	3/31/21	UNIVERSAL PARKING LLC		55	W 14TH ST		NEW YORK	NY	10011	212-686-9800	Manhattan	1
1343769-DCA	Business	1/26/15	STANDARD PARKING CORP		4028	COLLEGE POINT BLVD		FLUSHING	NY	11354	2129163480	Queens	4
1151530-DCA	Business	3/31/13	CITY PARKING LLC		525	E 11TH ST		NEW YORK	NY	10009	2127078993	Manhattan	1
1226136-DCA	Business	3/31/11	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		1470	MADISON AVE		NEW YORK	NY	10029	2125025490	Manhattan	1
1196436-DCA	Business	3/31/13	"KINNEY PARKING SYSTEM, INC."	CENTRAL PARKING SYSTEM	123	W 56TH ST		NEW YORK	NY	10019	2125025490	Manhattan	1
0904077-DCA	Business	3/31/21	"FIELD LAGUARDIA ASSOCIATES, INC."	HOLIDAY INN CROWN PLAZA	10404	DITMARS BLVD		EAST ELMHURST	NY	11369	7184576300	Queens	4
1262206-DCA	Business	3/31/11	"78 PARKING MANAGEMENT, LLC"		404	E 79TH ST		NEW YORK	NY	10075	7187880066	Manhattan	1
1277045-DCA	Business	3/31/15	STANDARD PARKING CORPORATION		950	RIVER AVE		BRONX	NY	10452	7185384249	Bronx	2
0699244-DCA	Business	3/31/21	79TH STREET PARKING LLC		900	PARK AVE		NEW YORK	NY	10075	2126869800	Manhattan	1
2028947-DCA	Business	3/31/19	231ST STREET PARKING LLC	ALL COUNTY PARKIN	3217	IRWIN AVE		BRONX	NY	10463	718-708-5077	Bronx	2
1037756-DCA	Business	3/31/13	SAGE PARKING CORP.	SAGE PARKING	1295	JEROME AVE		BRONX	NY	10452	7185387336	Bronx	2
1312992-DCA	Business	8/30/12	420 EAST 51ST PARKING LLC		420	E 51ST ST		NEW YORK	NY	10022	2128587565	Manhattan	1
1204282-DCA	Business	3/31/11	"KINNEY PARKING SYSTEM, INC."	CENTRAL PARKING SYSTEM	212	E 47TH ST		NEW YORK	NY	10017	2125025490	Manhattan	1
2032079-DCA	Business	3/31/21	WILLSHIRE CAR PARK INC.		18230	WEXFORD TER		JAMAICA	NY	11432	2122216111	Queens	4
0901086-DCA	Business	3/31/13	LTG PARKING CORP.		185	W END AVE		NEW YORK	NY	10023	2129999999	Manhattan	1
1256344-DCA	Business	3/31/17	C.V. PARKING LLC		200	CABRINI BLVD		NEW YORK	NY	10033	2127959070	Manhattan	1
1379517-DCA	Business	3/31/21	ENTERPRISE ANN PARKING LLC		57	ANN ST		NEW YORK	NY	10038	2127143571	Manhattan	1
0972262-DCA	Business	3/31/13	BLEECKER PARKING CORP.		350	BLEECKER ST		NEW YORK	NY	10014	2122748303	Manhattan	1
1393075-DCA	Business	3/31/15	PF PARKING CORP.		1975	EASTCHESTER RD		BRONX	NY	10461	7184307021	Bronx	2
2026632-DCA	Business	11/15/18	QUIK PARK HUDSON LLC		160	RIVERSIDE BLVD		NEW YORK	NY	10069	212-686-9800	Manhattan	1
1212000-DCA	Business	3/31/15	"CENTRAL PARKING SYSTEM OF NEW YORK,INC."		15	HOYT ST		BROOKLYN	NY	11201	7188555544	Brooklyn	3
2016406-DCA	Business	3/31/21	SJS 39 AVENUE PARKING LLC		3907	PRINCE ST		FLUSHING	NY	11354	718-886-4035	Queens	4
1379008-DCA	Business	3/31/11	R & M PARKING CORP.		600	E 156TH ST		BRONX	NY	10455	7186811406	Bronx	2
2002574-DCA	Business	3/31/21	"CHOY & C GROUP, INC."	Easy Parking	4235	MAIN ST		FLUSHING	NY	11355		Queens	4
1270443-DCA	Business	3/31/11	"PARKING COMPANY OF AMERICA AIRPORTS, LLC"	AVISTAR AIRPORT PARKING	14916	131ST ST		JAMAICA	NY	11430	7183222221	Queens	4
1319917-DCA	Business	3/31/17	21 EAST 12TH STREET PARKING LLC		21	E 12TH ST		NEW YORK	NY	10003	2129293041	Manhattan	1
2064837-DCA	Business	3/31/21	MP 126 LLC		163	E 125TH ST		NEW YORK	NY	10035	2124903460	Manhattan	1
1221665-DCA	Business	3/31/21	"SWEETS PARKING I, INC."		437	MADISON AVE		NEW YORK	NY	10022	2127533100	Manhattan	1
1076844-DCA	Business	3/31/21	"CARNEGIE CAR PARK, INC."	GGMC	40	E 94TH ST		NEW YORK	NY	10128	2129966363	Manhattan	1
1412772-DCA	Business	3/31/21	HANOVER PARKING LLC		7	HANOVER SQ		NEW YORK	NY	10004	2126869800	Manhattan	1
1432578-DCA	Business	3/31/21	"SMITH CAR PARK, LLC"		75	SMITH ST		BROOKLYN	NY	11201	2129966363	Brooklyn	3
2082737-DCA	Business	3/31/21	"ABM INDUSTRY GROUPS, LLC"	ABM PARKING SERVICES	475	PARK AVE S		NEW YORK	NY	10016	2127576500	Manhattan	1
